property_id,whc_official_url,property_name_en,property_name_zh,region_en,states_name_en,unique_theme_path_count_from_assignment_rows,phase1a_theme_property_summary_count,summary_count_matches_assignment_rows,unique_theme_level1_count,theme_level1_values,theme_category_paths
540,https://whc.unesco.org/en/list/540,Historic Centre of Saint Petersburg and Related Groups of Monuments,圣彼得堡历史中心及其相关古迹群,Europe and North America,Russian Federation,14,14,true,5,"Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) | Developing Technologies | Expressions of Society | Movement of Peoples | Spiritual Responses (Religions)","Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Castles, Palaces, Residences | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Equipping Historic Buildings > Decoration, Wall Paintings, Sculpture, Stucco, Mosaics, and Furnishings | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Equipping Historic Buildings > Works of Art and Collections | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Governmental and Public Buildings (Town Halls, Capitols, Courthouses, Post Offices; Main Public Squares) Pales) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Military Architecture > Forts, Castles, Fortified Houses | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Monumental Sculpture, Dolmens | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Recreational Architecture (Theatres, Auditoriums, Athletic Facilities, Museums, Libraries, Depositories, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Religious and Commemorative Architecture (Temples, Synagogues, Churches, Mosques, Tombs, Cemeteries, Shrines, Memorials) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Transport Structures (Roads, Ports, Canals, Bridges, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Urban Settlements > Inhabited Urban Areas | Developing Technologies > Technology in Urban Community > Infrastructures (Water-Supply, Sanitation, Electric Power, Etc.) | Expressions of Society > Cultural and Political Associations > Identity | Movement of Peoples > Systems of Transportation and Trade > Water Transport, Navigation, Harbours and Canals | Spiritual Responses (Religions) > Christianity > Orthodox Church"
29,https://whc.unesco.org/en/list/29,Historic Centre of Kraków,克拉科夫历史中心,Europe and North America,Poland,9,9,true,2,"Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) | Spiritual Responses (Religions)","Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Castles, Palaces, Residences | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Commercial Architecture (Office Buildings, Banks, Warehouses, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Educational and Public Buildings Aqueducts; Baths, Etc.) Aqueducs, Bains, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Equipping Historic Buildings > Decoration, Wall Paintings, Sculpture, Stucco, Mosaics, and Furnishings | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Military Architecture > Fortified Cities | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Religious and Commemorative Architecture (Temples, Synagogues, Churches, Mosques, Tombs, Cemeteries, Shrines, Memorials) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Urban Settlements > Inhabited Urban Areas | Spiritual Responses (Religions) > Christianity > Catholic Church | Spiritual Responses (Religions) > Judaism"
121,https://whc.unesco.org/en/list/121,Kathmandu Valley,加德满都谷地,Asia and the Pacific,Nepal,9,9,true,3,"Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) | Movement of Peoples | Spiritual Responses (Religions)","Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Castles, Palaces, Residences | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Cultural Landscapes > Parks and Gardens | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Educational and Public Buildings Aqueducts; Baths, Etc.) Aqueducs, Bains, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Equipping Historic Buildings > Decoration, Wall Paintings, Sculpture, Stucco, Mosaics, and Furnishings | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Religious and Commemorative Architecture (Temples, Synagogues, Churches, Mosques, Tombs, Cemeteries, Shrines, Memorials) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Urban Settlements > Inhabited Urban Areas | Movement of Peoples > Cultural Routes > Pilgrimage Places and Places of Origin (E.G. Mythical) | Spiritual Responses (Religions) > Buddhism > Buddhism in the West | Spiritual Responses (Religions) > Hinduism and Related Religions > Sikhism, Parsiism"
148,https://whc.unesco.org/en/list/148,Old City of Jerusalem and its Walls,耶路撒冷古城及其城墙,Arab States,Jerusalem (Site proposed by Jordan),9,9,true,4,"Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) | Expressions of Society | Movement of Peoples | Spiritual Responses (Religions)","Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Religious and Commemorative Architecture (Temples, Synagogues, Churches, Mosques, Tombs, Cemeteries, Shrines, Memorials) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Sacred Sites > Sacred Settlements | Expressions of Society > Cultural and Political Associations > Memorials | Expressions of Society > Cultural and Political Associations > Significant Personalities | Expressions of Society > Interacting and Communicating > Literature, Artistic References, and Theatre | Movement of Peoples > Cultural Routes > Pilgrimage Places and Places of Origin (E.G. Mythical) | Spiritual Responses (Religions) > Christianity > Early Christian Church; Ethiopian Christianity | Spiritual Responses (Religions) > Islam > The Shiah, Ismaili, Sufism | Spiritual Responses (Religions) > Judaism"
394,https://whc.unesco.org/en/list/394,Venice and its Lagoon,威尼斯及泻湖,Europe and North America,Italy,9,9,true,3,"Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) | Expressions of Society | Movement of Peoples","Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Commercial Architecture (Office Buildings, Banks, Warehouses, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Domestic Habitat | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Equipping Historic Buildings > Decoration, Wall Paintings, Sculpture, Stucco, Mosaics, and Furnishings | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Religious and Commemorative Architecture (Temples, Synagogues, Churches, Mosques, Tombs, Cemeteries, Shrines, Memorials) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Transport Structures (Roads, Ports, Canals, Bridges, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Urban Settlements > Inhabited Urban Areas | Expressions of Society > Cultural and Political Associations > Significant Personalities | Movement of Peoples > Systems of Transportation and Trade > Centres of Trade and Exchange of Goods | Movement of Peoples > Systems of Transportation and Trade > Water Transport, Navigation, Harbours and Canals"
954,https://whc.unesco.org/en/list/954,Saint Catherine Area,圣卡特琳娜地区,Arab States,Egypt,9,9,true,5,"Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) | Developing Technologies | Expressions of Society | Movement of Peoples | Spiritual Responses (Religions)","Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Religious and Commemorative Architecture (Temples, Synagogues, Churches, Mosques, Tombs, Cemeteries, Shrines, Memorials) | Developing Technologies > Processing Information and Communicating > Writing, Inscriptions, Manuscripts, Archives | Expressions of Society > Cultural and Political Associations > Significant Personalities | Expressions of Society > Developing Knowledge > Law and Justice | Movement of Peoples > Cultural Routes > Pilgrimage Places and Places of Origin (E.G. Mythical) | Spiritual Responses (Religions) > Christianity > Early Christian Church; Ethiopian Christianity | Spiritual Responses (Religions) > Christianity > Orthodox Church | Spiritual Responses (Religions) > Islam > The Shiah, Ismaili, Sufism | Spiritual Responses (Religions) > Judaism"
1061,https://whc.unesco.org/en/list/1061,"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",,Latin America and the Caribbean,Mexico,9,9,true,3,"Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) | Movement of Peoples | Spiritual Responses (Religions)","Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Military Architecture > Fortified Cities | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Pyramids, Obelisks, Minarets, Belfries | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Religious and Commemorative Architecture (Temples, Synagogues, Churches, Mosques, Tombs, Cemeteries, Shrines, Memorials) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Transport Structures (Roads, Ports, Canals, Bridges, Etc.) | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Urban Settlements > Colonial Towns | Creative Responses and Continuity (Monuments, Groups of Buildings and Sites) > Urban Settlements > Towns Which Are No Longer Inhabited | Movement of Peoples > Systems of Transportation and Trade > Centres of Trade and Exchange of Goods | Movement of Peoples > Systems of Transportation and Trade > Water Transport, Navigation, Harbours and Canals | Spiritual Responses (Religions) > Ancient and Indigenous Belief Systems > Indigenous Belief Systems in the Americas (Olmec, Inca, Maya, Etc.)"
